
 Shear/q and Bending Moment/q vs Y
  Configuration: AeroCats_2014                                               
  Mach  =    0.000
  alpha =    9.000    CLtot =    1.564
  beta  =    0.000

  Sref  =  2300.00000
  Bref  =   106.00000
   
 Surface:   1  
Horizontal Tail                         
     2Ymin/Bref =   0.0000000E+00
     2Ymax/Bref =   0.6132075    
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000 -0.449188E-01    -0.607837E-02
    0.0153 -0.431773E-01    -0.563815E-02
    0.0554 -0.396969E-01    -0.480991E-02
    0.1044 -0.354451E-01    -0.388966E-02
    0.1527 -0.312858E-01    -0.308510E-02
    0.1999 -0.272580E-01    -0.239473E-02
    0.2457 -0.234000E-01    -0.181441E-02
    0.2899 -0.197484E-01    -0.133771E-02
    0.3323 -0.163385E-01    -0.956192E-03
    0.3724 -0.132057E-01    -0.659825E-03
    0.4102 -0.103927E-01    -0.437326E-03
    0.4453 -0.794734E-02    -0.276526E-03
    0.4775 -0.588533E-02    -0.165135E-03
    0.5067 -0.418201E-02    -0.917624E-04
    0.5326 -0.281005E-02    -0.464632E-04
    0.5551 -0.175015E-02    -0.207930E-04
    0.5741 -0.980019E-03    -0.783827E-05
    0.5895 -0.467963E-03    -0.229016E-05
    0.6011 -0.171124E-03    -0.440269E-06
    0.6088 -0.363012E-04    -0.379292E-07
    0.6127 -0.214894E-05    -0.523463E-09
    0.6132   0.00000          0.00000    
   
 Surface:   2  
Horizontal Tail (YDUP)                  
     2Ymin/Bref =  -0.6132075    
     2Ymax/Bref =   0.0000000E+00
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000 -0.449186E-01     0.607832E-02
   -0.0153 -0.431771E-01     0.563810E-02
   -0.0554 -0.396967E-01     0.480986E-02
   -0.1044 -0.354449E-01     0.388963E-02
   -0.1527 -0.312856E-01     0.308507E-02
   -0.1999 -0.272578E-01     0.239470E-02
   -0.2457 -0.233998E-01     0.181439E-02
   -0.2899 -0.197482E-01     0.133769E-02
   -0.3323 -0.163383E-01     0.956178E-03
   -0.3724 -0.132055E-01     0.659815E-03
   -0.4102 -0.103926E-01     0.437318E-03
   -0.4453 -0.794721E-02     0.276521E-03
   -0.4775 -0.588522E-02     0.165132E-03
   -0.5067 -0.418193E-02     0.917606E-04
   -0.5326 -0.280999E-02     0.464623E-04
   -0.5551 -0.175011E-02     0.207926E-04
   -0.5741 -0.979999E-03     0.783812E-05
   -0.5895 -0.467954E-03     0.229011E-05
   -0.6011 -0.171121E-03     0.440260E-06
   -0.6088 -0.363004E-04     0.379283E-07
   -0.6127 -0.214889E-05     0.523450E-09
   -0.6132   0.00000          0.00000    
   
 Surface:   3  
ACMainWing                              
     2Ymin/Bref =   0.0000000E+00
     2Ymax/Bref =    1.000000    
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.829381         0.178633    
    0.0389  0.789640         0.162943    
    0.1165  0.710295         0.133871    
    0.1934  0.632095         0.108093    
    0.2691  0.555794         0.856355E-01
    0.3431  0.482128         0.664435E-01
    0.4150  0.411821         0.503860E-01
    0.4904  0.340237         0.362090E-01
    0.5631  0.274425         0.250271E-01
    0.6266  0.220266         0.171624E-01
    0.6863  0.172609         0.112916E-01
    0.7419  0.131393         0.706727E-02
    0.7929  0.964816E-01     0.415899E-02
    0.8391  0.676463E-01     0.226318E-02
    0.8801  0.446024E-01     0.111062E-02
    0.9158  0.269737E-01     0.472049E-03
    0.9458  0.143094E-01     0.161588E-03
    0.9701  0.604522E-02     0.379823E-04
    0.9861  0.191907E-02     0.566807E-05
    0.9950  0.408634E-03     0.489850E-06
    0.9994  0.243148E-04     0.679268E-08
    1.0000   0.00000          0.00000    
   
 Surface:   4  
ACMainWing (YDUP)                       
     2Ymin/Bref =   -1.000000    
     2Ymax/Bref =   0.0000000E+00
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.829379        -0.178632    
   -0.0389  0.789638        -0.162942    
   -0.1165  0.710292        -0.133870    
   -0.1934  0.632093        -0.108092    
   -0.2691  0.555792        -0.856350E-01
   -0.3431  0.482125        -0.664431E-01
   -0.4150  0.411819        -0.503857E-01
   -0.4904  0.340235        -0.362088E-01
   -0.5631  0.274423        -0.250270E-01
   -0.6266  0.220264        -0.171622E-01
   -0.6863  0.172608        -0.112915E-01
   -0.7419  0.131392        -0.706722E-02
   -0.7929  0.964808E-01    -0.415896E-02
   -0.8391  0.676458E-01    -0.226316E-02
   -0.8801  0.446021E-01    -0.111061E-02
   -0.9158  0.269735E-01    -0.472046E-03
   -0.9458  0.143093E-01    -0.161587E-03
   -0.9701  0.604518E-02    -0.379820E-04
   -0.9861  0.191906E-02    -0.566803E-05
   -0.9950  0.408632E-03    -0.489847E-06
   -0.9994  0.243146E-04    -0.679263E-08
   -1.0000   0.00000          0.00000    
   
 Surface:   5  
Winglet                                 
     2Ymin/Bref =    1.000000    
     2Ymax/Bref =    1.000000    
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    1.0000  0.868990E-02     0.383411E-03
    1.0000  0.854220E-02     0.354093E-03
    1.0000  0.814347E-02     0.297316E-03
    1.0000  0.756655E-02     0.244354E-03
    1.0000  0.686473E-02     0.196457E-03
    1.0000  0.607974E-02     0.153534E-03
    1.0000  0.525554E-02     0.116234E-03
    1.0000  0.444151E-02     0.854605E-04
    1.0000  0.366747E-02     0.608346E-04
    1.0000  0.295436E-02     0.417537E-04
    1.0000  0.231576E-02     0.274803E-04
    1.0000  0.175940E-02     0.172169E-04
    1.0000  0.128834E-02     0.101670E-04
    1.0000  0.901933E-03     0.558158E-05
    1.0000  0.596532E-03     0.279293E-05
    1.0000  0.366034E-03     0.123647E-05
    1.0000  0.202319E-03     0.461792E-06
    1.0000  0.955892E-04     0.133903E-06
    1.0000  0.346754E-04     0.255917E-07
    1.0000  0.731567E-05     0.219519E-08
    1.0000  0.431669E-06     0.302046E-10
    1.0000   0.00000          0.00000    
   
 Surface:   6  
Winglet (YDUP)                          
     2Ymin/Bref =   -1.000000    
     2Ymax/Bref =   -1.000000    
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -1.0000  0.868993E-02    -0.383413E-03
   -1.0000  0.854222E-02    -0.354094E-03
   -1.0000  0.814349E-02    -0.297317E-03
